date,symbol,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,optionid,am_settlement,contract_size,expiry_indicator,ticker,exercise_style,close,price,IV,time_to_maturity,moneyness
2023-02-28,SPXW 230301C3975000,2023-03-01,2023-02-28,C,3975000,16.8,17.4,4104,637,152346176,0,100,w,SPX,E,3970150.0,17.1,1.111695712089348,1,1.0012216163117262
2023-02-28,SPXW 230301C3980000,2023-03-01,2023-02-28,C,3980000,14.2,14.6,3995,456,152346177,0,100,w,SPX,E,3970150.0,14.399999999999999,2.0162767140775113,1,1.002481014571238
2023-02-28,SPXW 230301C3985000,2023-03-01,2023-02-28,C,3985000,11.9,12.3,3441,365,152400998,0,100,w,SPX,E,3970150.0,12.100000000000001,2.8398383627462387,1,1.0037404128307494
2023-02-28,SPXW 230301C3990000,2023-03-01,2023-02-28,C,3990000,9.8,10.1,4492,444,152346178,0,100,w,SPX,E,3970150.0,9.95,3.6017753928370517,1,1.0049998110902612
2023-02-28,SPXW 230301C3995000,2023-03-01,2023-02-28,C,3995000,8.0,8.3,3071,383,152400999,0,100,w,SPX,E,3970150.0,8.15,4.3190175949514655,1,1.0062592093497726
2023-02-28,SPXW 230301C4000000,2023-03-01,2023-02-28,C,4000000,6.4,6.6,11001,2473,152346179,0,100,w,SPX,E,3970150.0,6.5,4.988231522127664,1,1.0075186076092844
2023-02-28,SPXW 230301C4005000,2023-03-01,2023-02-28,C,4005000,5.0,5.2,3108,500,152401000,0,100,w,SPX,E,3970150.0,5.1,5.617257831023039,1,1.0087780058687958
2023-02-28,SPXW 230301C4010000,2023-03-01,2023-02-28,C,4010000,3.9,4.0,4869,858,152346180,0,100,w,SPX,E,3970150.0,3.95,6.210801213769403,1,1.0100374041283076
2023-02-28,SPXW 230301C4015000,2023-03-01,2023-02-28,C,4015000,3.0,3.1,3847,386,152401001,0,100,w,SPX,E,3970150.0,3.05,6.776805047254607,1,1.011296802387819
2023-02-28,SPXW 230301C4020000,2023-03-01,2023-02-28,C,4020000,2.2,2.3,5237,740,152346181,0,100,w,SPX,E,3970150.0,2.25,7.294440445798905,1,1.0125562006473308
2023-02-28,SPXW 230301C4025000,2023-03-01,2023-02-28,C,4025000,1.6,1.7,5901,3923,152346182,0,100,w,SPX,E,3970150.0,1.65,7.78682231510123,1,1.0138155989068423
